id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
650,2026-03-10,DD Exhaustion,short,A,60.0,2026-03-10 14:14:05.767423,6820.9,,,,,,,,BOFA-PURE,22.79,,-1,-2.06,WIN,13.1,21.18,8.75,1,target,6804.72,6832.9,,,,6694542349.45,90322989.14,2974494654.73,
651,2026-03-10,DD Exhaustion,short,A,60.0,2026-03-10 14:14:33.039772,6814.59,,,,,,,,BOFA-PURE,23.17,,-1,-2.06,WIN,15.9,26.73,8.82,8,target,6792.86,6826.59,,,,6694542349.45,90322989.14,2974494654.73,
660,2026-03-10,DD Exhaustion,short,A,68.0,2026-03-10 14:29:18.460468,6808.22,,,,,,,,BOFA-PURE,23.93,,-1,-0.56,WIN,17.4,29.86,-4.09,69,target,6783.36,6820.22,,,,6730065368.7,11492223.56,2684424253.1,
661,2026-03-10,Skew Charm,short,B,55.0,2026-03-10 14:29:19.022220,6808.22,,,,6798.22,,,,BOFA-PURE,23.93,,-1,-0.56,WIN,6.1,10.24,-4.31,21,target,6805.98,6828.22,,,,6730065368.7,11492223.56,2684424253.1,
662,2026-03-10,Skew Charm,short,C,43.0,2026-03-10 14:33:56.339456,6810.11,,,,6800.11,,,,BOFA-PURE,23.92,,-1,-1.03,WIN,9.3,16.7,-1.49,40,target,6801.41,6830.11,,,,6754421133.38,35894551.69,2753491370.38,
670,2026-03-10,DD Exhaustion,short,A,63.0,2026-03-10 15:19:56.273152,6803.79,,,,,,,,GEX-LIS,23.9,,1,-1.08,WIN,15.2,25.43,-1.3,18,target,6783.36,6815.79,,,,6012558379.12,24404906.04,2635557188.54,
672,2026-03-11,Skew Charm,short,A+,85.0,2026-03-11 09:45:34.424758,6789.94,,,,6779.94,,,,SIDIAL-EXTREME,24.81,,-1,0.01,WIN,9.1,16.3,0.23,7,target,6781.6401,6809.94,,,,5378546557.1,84239498.9,2690485249.7,
675,2026-03-11,DD Exhaustion,short,A-Entry,51.0,2026-03-11 10:06:34.859144,6797.87,,,,,,,,BofA-LIS,24.1,,-1,0.15,WIN,19.5,33.98,2.05,22,target,6768.8901,6809.87,,,,5487405253.56,101983253.92,2881014901.93,
677,2026-03-11,Skew Charm,short,A+,85.0,2026-03-11 10:18:34.128095,6787.43,,,,6777.43,,,,SIDIAL-EXTREME,24.54,,-1,-0.29,WIN,12.8,23.54,-3.28,11,target,6771.8901,6807.43,,,,5473665865.44,66693171.87,2808212302.37,
679,2026-03-11,DD Exhaustion,short,A-Entry,48.0,2026-03-11 10:39:06.835019,6780.13,,,,,,,,AG-TARGET,24.57,,-1,0.46,LOSS,-12.0,2.38,-12.06,19,stop,,6792.13,,,,5426373352.96,-30881019.89,2460745003.27,
