id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
920,2026-03-18,Skew Charm,short,A+,85.0,2026-03-18 11:32:43.059094,6680.42,6689.5,,,6670.42,,,,AG-TARGET,23.32,-2.15,-1,0.69,WIN,7.1,12.14,-4.73,80,target,6676.28,6700.42,,,,7611322743.91,135841684.52,1812222712.15,
921,2026-03-18,DD Exhaustion,short,A,62.0,2026-03-18 12:06:43.150690,6676.58,6689.5,,,,,,,AG-TARGET,23.42,-2.15,-1,0.69,WIN,13.2,21.49,-6.15,149,target,6660.0898,6688.58,,,,7539676215.34,86537191.36,1713364792.63,
922,2026-03-18,Skew Charm,short,A,75.0,2026-03-18 12:08:13.572498,6677.58,6689.5,,,6667.58,,,,AG-TARGET,23.37,-2.18,-1,0.69,WIN,8.4,14.72,-5.98,87,target,6670.8599,6697.58,,,,7539676215.34,86537191.36,1713364792.63,
925,2026-03-18,DD Exhaustion,short,A,70.0,2026-03-18 12:39:13.825727,6674.5,6681.5,,,,,,,AG-TARGET,23.43,-2.13,-1,0.79,WIN,12.6,20.29,-6.99,123,target,6659.21,6686.5,,,,7439055731.75,-37305133.22,1540282820.37,
926,2026-03-18,Skew Charm,short,A,75.0,2026-03-18 12:44:43.556769,6674.83,6681.5,,,6664.83,,,,SIDIAL-EXTREME,23.45,-2.12,-1,0.7,WIN,7.0,11.97,-5.5,50,target,6670.8599,6694.83,,,,7484083096.53,40338534.35,1643870905.33,
929,2026-03-18,Skew Charm,short,A,75.0,2026-03-18 13:23:14.066740,6668.23,,,,6658.23,,,,AG-PURE,23.66,-1.96,-1,0.87,WIN,7.6,13.14,-13.26,73,target,6663.0898,6688.23,,,,7462695099.17,-23857556.34,1561256646.76,
930,2026-03-18,DD Exhaustion,short,A-Entry,40.0,2026-03-18 13:27:44.753149,6667.62,6669.5,,,,,,,SIDIAL-EXTREME,23.65,-1.97,-1,0.86,LOSS,-12.0,4.76,-13.59,32,stop,,6679.62,,,,7478461371.89,-12661174.47,1581015680.35,
931,2026-03-18,Skew Charm,short,A,75.0,2026-03-18 13:55:43.679602,6672.44,6681.5,,,6662.44,,,,SIDIAL-EXTREME,23.43,-2.04,-1,0.74,WIN,9.7,17.35,-9.05,40,target,6663.0898,6692.44,,,,7442300426.14,-46878227.9,1556501411.59,
932,2026-03-18,DD Exhaustion,short,A+,75.0,2026-03-18 13:59:43.665076,6675.92,6689.5,,,,,,,SIDIAL-EXTREME,23.27,-2.12,-1,0.69,WIN,12.9,20.83,-5.57,36,target,6660.0898,6687.92,,,,7464356551.1,-20438303.4,1577054105.92,
933,2026-03-18,DD Exhaustion,short,A-Entry,51.0,2026-03-18 14:21:00.598972,6667.31,,,,,,,,SIDIAL-EXTREME,23.44,-2.02,-1,0.51,WIN,15.0,24.97,-3.36,42,target,6647.3398,6679.31,,,,7461314167.17,-112770787.75,1486342839.37,
934,2026-03-18,Skew Charm,short,A,70.0,2026-03-18 14:21:33.273074,6667.05,,,,6657.05,,,,SIDIAL-EXTREME,23.45,-2.03,-1,0.51,WIN,7.0,11.96,-3.62,14,target,6663.0898,6687.05,,,,7461314167.17,-112770787.75,1486342839.37,
