id,trade_date,setup_name,grade,ts_et,spot,charm_limit,offset,filled,fill_time,market_sl,limit_sl,market_outcome,market_pnl,limit_outcome,limit_pnl,change
911,2026-03-18,Skew Charm,A+,2026-03-18 10:22,6685.45,6689.5,4.05,NO,,6699.4,,WIN,10.1,TIMEOUT,0.0,lost opp 10.1
913,2026-03-18,AG Short,A,2026-03-18 10:44,6667.42,6669.5,2.08,YES,10:45,6675.4,6677.5,LOSS,-20.0,LOSS,-8.0,reduced 12.0
916,2026-03-18,DD Exhaustion,A,2026-03-18 10:59,6678.52,6689.5,10.98,NO,,6690.5,,WIN,14.2,TIMEOUT,0.0,lost opp 14.2
917,2026-03-18,Skew Charm,A+,2026-03-18 10:59,6678.52,6689.5,10.98,NO,,6692.5,,WIN,6.1,TIMEOUT,0.0,lost opp 6.1
919,2026-03-18,DD Exhaustion,A,2026-03-18 11:29,6680.47,6689.5,9.03,NO,,6692.5,,WIN,15.2,TIMEOUT,0.0,lost opp 15.2
920,2026-03-18,Skew Charm,A+,2026-03-18 11:32,6680.42,6689.5,9.08,NO,,6694.4,,WIN,7.1,TIMEOUT,0.0,lost opp 7.1
921,2026-03-18,DD Exhaustion,A,2026-03-18 12:06,6676.58,6689.5,12.92,NO,,6688.6,,WIN,13.2,TIMEOUT,0.0,lost opp 13.2
922,2026-03-18,Skew Charm,A,2026-03-18 12:08,6677.58,6689.5,11.92,NO,,6691.6,,WIN,8.4,TIMEOUT,0.0,lost opp 8.4
925,2026-03-18,DD Exhaustion,A,2026-03-18 12:39,6674.5,6681.5,7.0,NO,,6686.5,,WIN,12.6,TIMEOUT,0.0,lost opp 12.6
926,2026-03-18,Skew Charm,A,2026-03-18 12:44,6674.83,6681.5,6.67,NO,,6688.8,,WIN,7.0,TIMEOUT,0.0,lost opp 7.0
930,2026-03-18,DD Exhaustion,A-Entry,2026-03-18 13:27,6667.62,6669.5,1.88,YES,13:35,6679.6,6681.5,LOSS,-12.0,LOSS,-12.0,+0.0
931,2026-03-18,Skew Charm,A,2026-03-18 13:55,6672.44,6681.5,9.06,YES,14:00,6686.4,6695.5,WIN,9.7,WIN,9.9,+0.2 more
932,2026-03-18,DD Exhaustion,A+,2026-03-18 13:59,6675.92,6689.5,13.58,NO,,6687.9,,WIN,12.9,TIMEOUT,0.0,lost opp 12.9
