trs_t,div_t,dcl_min,dz_min,gate,n_sigs,spd,wr,pnl,max_dd,pf,quality
0.55,0.05,0,0.0,vol_climax,20,1.0,0.35,5.0,-16.0,1.15,5.8
0.55,0.2,0,0.0,vol_climax,20,1.0,0.35,5.0,-16.0,1.15,5.8
0.4,0.0,4,1.5,none,155,7.8,0.413,5.8,-87.8,1.02,5.8
0.55,0.15,0,0.0,vol_climax,20,1.0,0.35,5.0,-16.0,1.15,5.8
0.55,0.1,0,0.0,vol_climax,20,1.0,0.35,5.0,-16.0,1.15,5.8
0.25,0.2,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.2,0.15,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.2,0.1,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.2,0.1,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.3,0.05,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.3,0.05,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.2,0.2,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.2,0.15,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.25,0.05,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.25,0.05,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.3,0.1,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.3,0.1,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.25,0.15,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.25,0.15,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.25,0.2,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.2,0.2,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.25,0.1,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.25,0.1,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.3,0.2,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.3,0.2,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.3,0.15,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.3,0.15,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
