time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,VIX · TVC: close
1773856500,6674.03,6677.28,6672.35,6675.8,17459850,33271893.405,51.31208322971038,42.46821798162072,,,,,23.28
1773856800,6676.06,6682.75,6674.68,6680.26,34724780,33274532.555,56.45488813574504,43.10339153651285,,,,,23.11
1773857100,6680.15,6680.15,6673.97,6674.45,24537720,33248774.555,49.16879995957111,43.52148254201137,,,,,23.26
1773857400,6674.52,6676.24,6671.59,6674.59,22188740,33217196.805,49.33847101099342,44.18765503959475,,,,,23.25
1773857700,6674.59,6674.62,6663.67,6666.1,28855750,33224374.105,40.50802239647572,44.42458016955475,,,,,23.53
1773858000,6666.07,6668.44,6663.48,6666.68,20527800,33179137.205,41.281199954058515,44.91359561125729,,,,,23.55
1773858300,6666.73,6670.59,6665.46,6670.18,19560890,33132623.155,45.85428871826668,45.38895030452328,,,,,23.35
1773858600,6670.39,6671.63,6656.3,6656.3,29527290,33140822.755,34.40931911927122,44.95068581787291,,,,,23.77
1773858900,6656.29,6669.18,6655.09,6657.4,33964370,33178967.005,35.77739597405578,44.75788221603134,,,,,23.7
1773859200,6657.31,6663.35,6654.21,6659.32,38208160,33222060.455,38.2003630186223,44.5716079963585,,,,,23.61
1773859500,6659.3,6659.3,6655.48,6655.84,25194870,33214761.305,35.580186697419734,43.799270298386645,,,,,23.73
1773859800,6655.97,6655.97,6644.09,6644.94,31864040,33249323.955,28.89494845376977,42.88199335243028,,,,,24.12
1773860100,6644.78,6648.2,6643.01,6643.34,30264620,33287738.055,28.06146464182237,41.70611940830752,,,,,24.07
1773860400,6643.25,6652.77,6642.34,6652.77,31610830,33320188.905,39.19408646593071,41.00253698397946,,,,,23.78
1773860700,6652.92,6655.78,6650.41,6653.4,32693580,33375061.105,39.8636418835026,40.18479117353605,,,,,23.73
1773861000,6653.5,6653.5,6646.02,6648.44,30136690,33419464.455,36.45971809770696,38.75656474224762,,,,,23.85
1773861300,6648.45,6649.1,6643.01,6643.01,32156640,33469597.805,33.124982895180125,37.61057780907682,,,,,23.94
1773861600,6642.93,6643.43,6636.55,6636.86,33315100,33518625.455,29.80044858895255,36.21500477893105,,,,,24.17
1773861900,6636.82,6640.44,6636.16,6638.06,31500220,33539091.955,31.250343424346497,35.55374199520754,,,,,24.11
1773862200,6638.11,6640.68,6635.49,6639.84,39200650,33623038.355,33.44617304293365,34.99409721584148,,,,,24.01
1773862500,6639.65,6639.75,6633.2,6634.23,39175500,33709736.105,30.175004021760728,33.87414830894819,,,,,24.23
1773862800,6634.17,6635.03,6626.9,6628.87,46636410,33831446.005,27.41602931001087,33.37462760828674,,,,,24.44
1773863100,6628.99,6630.02,6625.12,6627.33,54017260,33995602.955,26.661754299492273,32.72351034581792,,,,,24.47
1773863400,6627.34,6631.83,6627.34,6629.33,87510470,34306584.255,29.37914505095469,32.093423348127374,,,,,24.43
1773863700,6629.37,6629.74,6621.66,6624.37,196281610,35166907.605,26.73359875749115,31.461524209561052,,,,,24.6
1773864000,6624.63,6624.77,6624.63,6624.71,585410600,37975887.005,27.217420719293457,31.341700799955596,,,,,24.67
1773927000,6583.12,6583.12,6557.82,6567.97,146050381,38595138.46,12.446259045463648,30.226328971644254,,,,,27.05
1773927300,6568.25,6573.34,6561.23,6569.47,57306106,38775137.79,13.778461000031868,28.41092715265148,,,,,27.02
1773927600,6569.68,6583.12,6568.73,6581.04,56757291,38972863.195,23.453396289171593,27.23876675305641,,,,,26.52
1773927900,6581,6586.07,6574.54,6586.07,48529482,39120970.955,27.274077868647055,26.58264959383785,,,,,26.23
1773928200,6586.28,6596.67,6584.85,6596,43827510,39223656.455,34.25108919149933,26.663085757860646,,,,,25.8
1773928500,6595.99,6595.99,6586.59,6593.61,39271870,39287428.705,33.420051648883046,26.921628833569965,,,,,25.88
