date,time_et,bar_idx,direction,entry_price,scenario,vol_ratio_raw,vol_ratio_rate,vol_per_sec,duration_sec,volume,div_raw,div_gap,cvd_norm,grade_estimate,score_estimate,outcome,pnl,mfe,mae,bars_held
2026-03-09,10:26:22,661,long,6661.25,A,1.4497,0.5238,56.904,46.1,2623,1,0.2942,-0.609,C,14.5,WIN,10,10.75,-7.5,14
2026-03-09,10:34:10,674,short,6670.0,A,2.6193,0.6169,49.9238,114.41,5712,1,0.2906,0.9335,B,23.0,LOSS,-8,3.0,-8.75,3
2026-03-09,10:36:31,676,short,6676.75,B,0.4791,2.059,153.3058,7.13,1093,1,0.2544,0.9727,C,14.5,LOSS,-8,5.5,-11.25,12
2026-03-09,10:44:48,688,short,6688.0,B,1.1478,1.5916,97.2952,28.33,2756,2,0.4418,0.7926,B,20.8,LOSS,-8,2.25,-8.75,6
2026-03-09,10:45:17,689,short,6690.75,A,2.8932,1.1394,72.3087,99.84,7219,1,0.216,0.7601,B,23.0,LOSS,-8,2.5,-8.5,7
2026-03-09,10:56:04,698,short,6693.0,B,0.4875,2.44,163.7119,11.18,1830,2,0.4553,0.6944,B,20.8,LOSS,-8,4.0,-8.5,4
2026-03-09,11:04:16,708,short,6704.5,A,1.6022,0.5517,46.5609,139.34,6488,2,0.44,1.0,B,20.8,LOSS,-8,8.75,-8.5,15
2026-03-09,11:12:26,714,short,6707.5,B,0.5029,5.6117,416.0348,4.51,1878,2,0.4894,1.0,B,20.8,LOSS,-8,6.25,-9.75,11
2026-03-09,11:25:37,725,long,6712.25,A,3.4962,0.7142,53.7847,270.88,14569,3,1.0518,-0.6612,A+,43.8,LOSS,-8,3.25,-9.0,3
2026-03-09,11:53:51,739,short,6712.0,A,2.6529,0.8762,46.3901,309.79,14371,1,0.206,0.8834,B,23.0,LOSS,-8,2.5,-9.0,3
2026-03-09,12:03:53,742,short,6716.0,B,0.3443,3.8567,205.7989,10.71,2205,1,0.2506,0.9227,C,14.5,LOSS,-8,5.75,-9.75,10
2026-03-09,12:23:24,750,long,6720.0,B,0.1542,2.2612,118.6078,7.29,865,2,0.5544,-0.6474,B,20.8,WIN,10,13.75,-1.75,4
2026-03-09,12:23:41,752,short,6725.75,A,2.166,1.2138,75.3149,145.43,10953,2,0.4608,0.8801,A,29.2,LOSS,-8,1.25,-8.0,2
2026-03-09,12:26:06,753,short,6729.5,B,0.5315,2.7188,173.5039,16.63,2886,1,0.3504,0.9218,C,14.5,WIN,10,12.0,-4.75,5
2026-03-09,12:35:04,762,long,6726.75,A,1.4385,0.4943,38.9235,178.38,6943,2,0.7117,-0.826,B,20.8,WIN,10,13.5,-0.5,3
2026-03-09,13:21:57,780,long,6707.25,A,1.5022,1.1311,43.4437,186.7,8111,1,0.2941,-1.0,C,14.5,LOSS,-8,1.75,-8.5,6
2026-03-09,13:48:04,788,long,6703.75,B,0.8096,1.4729,51.7815,89.78,4649,2,0.6816,-0.9409,B,20.8,WIN,10,12.25,-1.25,5
2026-03-09,14:21:33,799,short,6716.75,B,0.3281,1.7675,71.7444,29.08,2086,1,0.3444,0.895,C,14.5,LOSS,-8,2.75,-11.25,4
2026-03-09,14:23:01,801,short,6721.75,A,2.0507,0.6194,26.7664,466.56,12488,2,0.5021,0.8008,A,29.2,LOSS,-8,2.5,-9.5,3
2026-03-09,14:34:47,804,short,6726.25,C,2.2289,1.6285,70.4973,170.19,11998,1,0.3534,0.9911,B,23.0,LOSS,-8,9.25,-11.5,19
2026-03-09,15:17:03,816,short,6730.5,B,0.4653,20.7004,888.3333,3.03,2689,1,0.286,0.286,C,14.5,LOSS,-8,6.25,-9.25,8
2026-03-09,15:19:48,827,short,6751.0,B,0.5755,2.077,472.6564,4.4,2081,1,0.2523,1.0,C,14.5,LOSS,-8,2.75,-9.0,5
2026-03-09,15:21:03,836,long,6769.5,B,0.337,1.4709,571.7799,1.53,876,3,1.158,-0.4404,B,27.0,LOSS,-8,2.75,-9.25,7
2026-03-09,15:21:16,838,long,6763.5,A,1.7538,0.6728,246.8017,17.84,4403,4,1.3871,-0.7517,A,33.2,WIN,10,11.5,-3.25,8
2026-03-09,15:23:19,847,short,6771.0,A,2.3351,0.4999,154.5414,41.98,6488,1,0.3881,0.8802,B,23.0,LOSS,-8,6.5,-8.0,9
2026-03-09,15:26:55,857,short,6783.5,A,1.6721,0.8094,144.8012,33.72,4882,1,0.2089,0.9195,C,14.5,LOSS,-8,8.25,-11.5,10
2026-03-09,15:28:14,861,short,6776.0,B,0.2634,4.5077,737.0,1.0,737,1,0.2338,0.71,C,14.5,LOSS,-8,0.75,-12.0,3
2026-03-09,15:31:38,875,long,6792.5,A,2.2708,0.5141,114.7089,49.19,5643,2,0.6402,-0.7811,A,29.2,WIN,10,10.5,-0.5,5
2026-03-09,15:35:57,885,long,6792.25,B,0.866,1.8108,260.7372,9.12,2379,2,0.6204,-0.96,B,20.8,WIN,10,11.75,-1.0,3
2026-03-09,15:37:53,891,short,6813.25,B,1.0003,1.8605,248.134,10.45,2592,2,0.5674,0.9197,B,20.8,WIN,10,10.5,-5.25,9
2026-03-09,15:39:18,897,short,6816.0,A,1.5482,0.7129,97.9508,37.79,3702,1,0.3827,0.9602,C,14.5,WIN,10,13.25,-0.25,3
2026-03-09,15:46:17,920,long,6797.0,A,1.6718,1.0485,119.1176,28.89,3441,2,0.6333,-0.607,B,20.8,LOSS,-8,7.0,-9.0,9
2026-03-09,15:50:00,927,long,6793.0,B,0.8387,2.3145,215.1053,7.98,1717,3,0.8125,-1.0,B,27.0,WIN,10,11.25,-6.5,14
2026-03-09,15:51:32,931,long,6794.5,A,1.8955,1.0536,107.0621,38.85,4159,1,0.2697,-0.7554,C,14.5,LOSS,-8,0.75,-8.0,3
2026-03-09,15:55:05,938,long,6792.75,B,0.3,1.4362,163.7286,5.29,866,2,0.6637,-0.5208,B,20.8,WIN,10,11.5,-2.0,3
2026-03-09,15:59:00,944,long,6798.75,A,1.6947,4.3592,571.9046,11.49,6569,3,0.9864,-0.5064,B,27.0,LOSS,-8,9.75,-10.5,10
2026-03-09,15:59:00,944,long,6798.75,C,1.6947,4.3592,571.9046,11.49,6569,3,0.9864,-0.5064,B,27.0,LOSS,-8,9.75,-10.5,10
2026-03-09,15:59:12,945,short,6802.75,A,9.2937,5.2154,813.1702,45.73,37187,1,0.3518,0.8718,A,31.2,WIN,10,10.5,-5.75,8
2026-03-09,15:59:12,945,short,6802.75,B,9.2937,5.2154,813.1702,45.73,37187,1,0.3518,0.8718,A,31.2,WIN,10,10.5,-5.75,8
