id,ts_et,setup_name,direction,grade,score,spot,paradigm,greek_alignment,vix,overvix,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level
479,2026-03-05 09:54:01.849893,Skew Charm,long,A+,93.0,6850.03,SIDIAL-EXTREME,3,21.9,,WIN,11.2,20.4,1.18,10,target,,6862.4302
484,2026-03-05 10:15:01.935192,Skew Charm,short,B,63.0,6857.89,AG-LIS,-1,21.6,,WIN,26.0,50.01,1.87,18,target,,6815.8799
490,2026-03-05 10:48:02.851413,Skew Charm,short,A+,85.0,6831.69,SIDIAL-EXTREME,-1,22.52,,WIN,13.5,24.98,-7.53,25,target,,6814.71
495,2026-03-05 11:23:10.992494,Skew Charm,short,A+,85.0,6815.42,BofA-LIS,-1,23.37,,LOSS,-20.0,6.38,-22.32,41,stop,,6835.42
499,2026-03-05 11:55:34.098436,Skew Charm,short,A+,85.0,6824.4,SIDIAL-EXTREME,-1,22.94,,WIN,20.7,39.46,-13.34,42,target,,6792.9399
504,2026-03-05 12:29:04.158651,Skew Charm,short,A,70.0,6808.69,BofA-LIS,-1,23.66,,WIN,12.9,23.75,4.17,9,target,,6792.9399
508,2026-03-05 12:57:01.605393,Skew Charm,long,B,53.0,6776.76,BOFA-PURE,3,25.03,,WIN,10.8,19.52,1.2,22,target,,6788.28
511,2026-03-05 13:06:04.069525,Skew Charm,short,B,60.0,6786.93,BOFA-PURE,-1,24.69,,WIN,8.1,14.13,-9.35,29,target,,6780.7998
514,2026-03-05 13:28:02.765088,Skew Charm,long,B,53.0,6777.15,BOFA-PURE,3,25.09,,WIN,8.5,14.9,-3.4,18,target,,6784.05
519,2026-03-05 13:54:38.867599,Skew Charm,long,B,53.0,6777.07,BOFA-PURE,3,25.14,,WIN,7.7,13.3,-2.22,31,target,,6782.37
521,2026-03-05 14:08:09.891542,Skew Charm,short,B,55.0,6784.34,BOFA-PURE,-1,24.87,,WIN,7.8,13.56,-6.03,32,target,,6778.7798
525,2026-03-05 14:35:08.644701,Skew Charm,long,C,36.0,6774.41,BOFA-PURE,1,25.68,,WIN,8.7,15.43,-2.66,20,target,,6781.84
