trade_date,time_et_str,direction,bar_idx,close,delta,outcome,pnl,bars_held,max_fav,is_swing_high,is_swing_low,bars_since_swing_high,bars_since_swing_low,cvd_price_div_5,cvd_price_div_8,price_trend_5,price_trend_8,trend_consistency_5,trend_bars,delta_cluster_len,delta_cluster_sum,delta_zscore,delta_percentile,vol_rate_zscore,is_volume_climax,is_at_extreme_10,is_at_extreme_20,bar_position_in_range_20,body_ratio,trend_reversal_score,paradigm,lis,svb,lis_dist
2026-03-06,09:43,BEAR,313,6739.75,444,WIN,3.75,4,11.75,0.0,0.0,6.0,4.0,0.0,0.0,14.0,8.25,0.6,2.0,11.0,1509.0,2.816631445005576,0.9666666666666667,3.7541204402756256,0.0,1.0,1.0,1.0,0.6,0.5577754296670384,SIDIAL-MESSY,,3.28,
2026-03-06,09:58,BULL,349,6719.25,-136,WIN,21.5,11,29.5,0.0,0.0,6.0,15.0,-1.3080735411670663,-1.531372023011118,-10.75,-7.25,0.6,1.0,2.0,-147.0,-1.2889892339809375,0.5,-1.3601107494864249,0.0,-1.0,-1.0,0.0,0.4,0.5659326155987292,AG-TARGET,6724.0,2.83,4.75
2026-03-06,10:00,BEAR,354,6735.0,257,LOSS,-7.0,2,1.0,0.0,0.0,11.0,4.0,0.0,0.0,15.75,13.0,0.8,4.0,5.0,705.0,1.2943565939595627,0.7333333333333333,4.315514778365669,1.0,1.0,0.0,0.8020833333333334,0.7,0.6462904395973043,AG-TARGET,6724.0,2.83,11.0
2026-03-06,10:13,BEAR,389,6749.75,324,LOSS,-1.75,3,6.25,0.0,0.0,13.0,5.0,0.0,0.0,18.75,17.5,1.0,5.0,6.0,1085.0,1.9639547894795084,0.9333333333333333,0.0951422632441746,0.0,1.0,1.0,1.0,0.95,0.5809303192986339,AG-TARGET,6729.0,2.48,20.75
2026-03-06,10:55,BEAR,437,6765.25,328,LOSS,-3.5,3,4.5,0.0,0.0,12.0,5.0,0.0,0.0,17.25,13.0,0.8,3.0,7.0,1607.0,1.0639813775893794,0.6666666666666666,4.034773207081363,1.0,1.0,0.0,0.6357142857142857,0.8,0.630932091839292,SIDIAL-MESSY,,1.59,
2026-03-06,11:03,BEAR,447,6777.25,1152,WIN,11.0,9,19.0,0.0,0.0,6.0,3.0,0.0,0.0,6.0,11.5,0.6,1.0,6.0,1978.0,4.449709746100974,1.0,-0.24698263776837368,0.0,1.0,1.0,1.0,0.65,0.5700000000000001,SIDIAL-MESSY,,1.31,
2026-03-06,11:11,BULL,454,6759.75,-649,WIN,1.75,4,9.75,0.0,0.0,2.0,4.0,0.0,0.0,-9.0,-14.25,0.8,2.0,6.0,-1619.0,-2.2485668410520057,0.9666666666666667,-0.853631745760981,0.0,-1.0,0.0,0.40625,0.8,0.5599044560701337,SIDIAL-MESSY,,0.98,
2026-03-06,11:36,BEAR,478,6767.5,249,LOSS,-3.0,8,5.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,7.75,0.6,3.0,4.0,752.0,1.447451479852605,0.7333333333333333,3.6009868772130713,1.0,1.0,0.0,0.8939393939393939,0.95,0.586496765323507,AG-TARGET,6777.0,1.5,9.5
2026-03-06,12:22,BEAR,521,6769.5,179,WIN,9.25,7,17.25,0.0,0.0,9.0,1.0,0.0,0.0,8.5,12.25,0.8,1.0,2.0,296.0,1.4085148560277385,0.7333333333333333,4.671230560148212,1.0,1.0,0.0,0.673469387755102,1.0,0.5639009904018493,BofA-LIS,,1.57,
2026-03-06,12:36,BULL,533,6746.0,-559,LOSS,-4.0,4,4.0,0.0,0.0,4.0,7.0,0.0,0.0,-16.0,-6.5,0.6,2.0,6.0,-1617.0,-2.459466458041384,1.0,2.936889160838911,1.0,-1.0,-1.0,0.0,0.9,0.6839644305360922,BofA-LIS,,1.77,
2026-03-06,13:13,BEAR,564,6778.5,767,LOSS,-0.5,6,7.5,0.0,0.0,11.0,6.0,0.0,0.0,20.0,17.0,0.8,4.0,5.0,2387.0,2.1499352225559596,1.0,11.064449754901949,1.0,1.0,1.0,1.0,1.0,0.703329014837064,BofA-LIS,,1.92,
2026-03-06,15:10,BULL,637,6757.25,-385,LOSS,-2.5,7,5.5,0.0,0.0,5.0,10.0,0.0,0.0,-16.5,-12.75,1.0,5.0,2.0,-545.0,-1.210519927677763,0.8666666666666667,1.1405121911470242,1.0,-1.0,-1.0,0.0,0.65,0.5907013285118508,BofA-LIS,,1.86,
2026-03-06,15:25,BULL,647,6742.5,-529,LOSS,-6.25,6,1.75,0.0,0.0,5.0,8.0,0.0,0.0,-15.25,-15.5,1.0,5.0,5.0,-1632.0,-1.763318306421149,0.9666666666666667,-0.0797874206206645,0.0,-1.0,-1.0,0.0,0.75,0.56755455376141,BofA-LIS,,2.55,
2026-03-06,15:40,BEAR,663,6745.5,501,LOSS,-7.0,3,1.0,0.0,0.0,11.0,4.0,0.0,0.0,12.25,12.5,0.6,1.0,5.0,1238.0,1.7755205561443297,0.9,10.257937736967223,1.0,1.0,0.0,0.5118110236220472,0.8,0.6383680370762886,BOFA-PURE,,3.54,
2026-03-09,10:16,BEAR,630,6654.5,737,LOSS,-3.25,12,4.75,0.0,0.0,13.0,1.0,0.0,0.0,6.0,8.5,0.8,1.0,8.0,1877.0,2.2875043412437717,0.9666666666666667,1.9099566379816844,0.0,1.0,0.0,0.9310344827586207,0.7,0.5625002894162515,BofA-LIS,,0.89,
2026-03-09,10:22,BEAR,651,6664.0,697,LOSS,-5.25,2,2.75,0.0,0.0,6.0,4.0,0.0,0.0,14.25,10.0,0.6,2.0,2.0,867.0,3.0753966484275246,0.9333333333333333,4.9968392453492285,1.0,1.0,1.0,1.0,0.95,0.6299999999999999,BofA-LIS,,0.44,
2026-03-09,10:27,BULL,662,6656.75,-564,WIN,18.25,20,26.25,0.0,0.0,3.0,5.0,0.0,0.0,-13.75,-15.5,0.6,3.0,3.0,-899.0,-2.7680375737201968,0.9666666666666667,2.086684091044798,1.0,-1.0,0.0,0.3394495412844037,0.9,0.6445358382480131,GEX-LIS,6638.0,0.05,18.75
2026-03-09,10:36,BEAR,676,6676.75,395,LOSS,-2.5,3,5.5,0.0,0.0,6.0,11.0,0.0,0.0,10.0,12.75,0.8,3.0,4.0,1577.0,1.50200128905208,0.9,1.230492057147476,1.0,1.0,1.0,1.0,0.95,0.6301334192701387,GEX-LIS,6637.0,0.1,39.75
2026-03-09,13:25,BULL,781,6704.0,-976,LOSS,-4.25,3,3.75,0.0,0.0,6.0,7.0,0.0,0.0,-17.25,-18.5,1.0,6.0,7.0,-2756.0,-2.6628632375876253,0.9333333333333333,0.30804450707108716,0.0,-1.0,-1.0,0.0,0.65,0.6275242158391751,BOFA-PURE,,-2.23,
2026-03-09,15:19,BEAR,825,6743.75,632,LOSS,-5.5,2,2.5,0.0,0.0,8.0,5.0,0.0,0.0,14.5,17.0,0.8,3.0,6.0,2405.0,1.4106423001423,0.9,1.0862494481101466,1.0,1.0,1.0,1.0,0.8,0.6540428200094867,BOFA-PURE,,-2.45,
2026-03-09,15:37,BEAR,890,6810.0,478,LOSS,-6.25,2,1.75,0.0,0.0,7.0,4.0,0.0,0.0,17.75,8.25,0.8,4.0,6.0,1464.0,2.10404926969347,0.9333333333333333,-0.29486623330511386,0.0,1.0,1.0,1.0,0.85,0.550269951312898,AG-LIS,6822.0,-3.58,12.0
2026-03-10,09:41,BULL,259,6784.0,-291,LOSS,-4.0,3,4.0,0.0,0.0,1.0,5.0,0.0,0.0,-9.0,-6.75,0.6,1.0,2.0,-360.0,-2.613423131034958,0.9333333333333333,11.737521508565036,1.0,-1.0,-1.0,0.0,0.95,0.6042282087356639,GEX-TARGET,6754.0,-0.94,30.0
2026-03-10,12:05,BULL,377,6816.5,-644,WIN,6.0,6,14.0,0.0,1.0,3.0,5.0,0.0,0.0,-10.0,-14.75,0.8,3.0,4.0,-2257.0,-1.3433919448221041,0.7333333333333333,4.881084234967795,1.0,-1.0,-1.0,0.0,0.85,0.6195594629881402,BOFA-PURE,,-2.19,
2026-03-10,14:35,BULL,482,6804.5,-278,WIN,6.25,9,14.25,0.0,0.0,5.0,8.0,0.0,0.0,-10.75,-7.5,0.8,2.0,5.0,-780.0,-2.3802875759347537,0.9666666666666667,2.2353102509798966,1.0,-1.0,0.0,0.19230769230769232,0.65,0.7186858383956503,BOFA-PURE,,-1.03,
2026-03-10,15:15,BEAR,519,6809.75,-305,WIN,5.5,6,13.5,0.0,0.0,4.0,2.0,0.615229619679288,1.102964897457562,2.5,7.0,0.6,2.0,5.0,-636.0,-2.3650927569821913,1.0,-0.019172813427553448,0.0,1.0,0.0,0.6619718309859155,0.15,0.7276728504654795,GEX-LIS,6746.0,-1.01,63.75
2026-03-10,15:59,BEAR,565,6791.25,1386,EXPIRED,0.0,0,0.0,0.0,0.0,4.0,2.0,0.7905205332618744,0.9837274737053661,4.25,9.75,0.6,2.0,1.0,1386.0,2.872751811265748,0.9666666666666667,7.845513134086587,1.0,1.0,0.0,0.5476190476190477,0.8,0.7915167874177166,GEX-LIS,6743.0,0.17,48.25
2026-03-11,09:42,BULL,194,6791.25,-169,LOSS,-3.0,4,5.0,0.0,0.0,2.0,5.0,-0.8562163306905268,-0.43427618429934745,-6.5,-1.75,0.6,2.0,2.0,-260.0,-1.180132255250063,0.6,-0.4865583995966325,0.0,-1.0,-1.0,0.0,0.75,0.5586754836833376,SIDIAL-EXTREME,,-0.05,
2026-03-11,09:58,BEAR,211,6795.25,538,LOSS,-5.5,3,2.5,0.0,0.0,6.0,2.0,0.0,0.0,10.75,9.25,0.6,2.0,3.0,1242.0,1.8298117201690884,0.9666666666666667,3.9470384087848926,1.0,1.0,0.0,0.71875,0.85,0.5819874480112726,SIDIAL-EXTREME,,0.14,
2026-03-11,10:23,BULL,260,6779.75,-490,LOSS,-4.75,2,3.25,0.0,0.0,3.0,9.0,0.0,0.0,-10.75,-14.75,0.8,3.0,4.0,-1783.0,-1.6413450863119543,0.9666666666666667,6.137658950071551,1.0,-1.0,-1.0,0.0,0.9,0.6394230057541302,SIDIAL-EXTREME,,-0.22,
2026-03-11,10:37,BEAR,278,6787.25,736,LOSS,-1.5,4,6.5,0.0,0.0,8.0,5.0,0.0,0.0,13.75,7.5,0.8,3.0,5.0,1570.0,2.233715792461272,1.0,-0.38935587501070124,0.0,1.0,0.0,0.7731958762886598,0.5,0.5589143861640848,AG-TARGET,6773.0,0.46,14.25
2026-03-11,11:12,BULL,307,6774.5,-488,LOSS,-5.0,5,3.0,0.0,0.0,3.0,9.0,0.0,0.0,-12.5,-20.75,0.8,3.0,8.0,-2164.0,-1.4270454839052704,0.8666666666666667,78.03461390471864,1.0,-1.0,-1.0,0.0,1.0,0.6551363655936847,SIDIAL-EXTREME,,-0.51,
2026-03-11,13:36,BULL,387,6767.0,-358,LOSS,-6.25,2,1.75,0.0,0.0,5.0,9.0,0.0,0.0,-12.5,-10.25,0.8,2.0,3.0,-968.0,-1.1267054270442967,0.7,4.932500965840262,1.0,-1.0,-1.0,0.0,0.95,0.5751136951362864,AG-LIS,6845.0,-0.16,78.0
2026-03-12,09:31,BULL,177,6715.5,-1118,WIN,5.75,9,13.75,0.0,0.0,2.0,3.0,0.0,0.0,-8.25,0.0,0.8,2.0,3.0,-1608.0,-6.131362839933846,1.0,-1.2244966054790847,0.0,-1.0,-1.0,0.0,0.85,0.55,AG-PURE,6767.0,-15.24,51.5
2026-03-12,09:46,BULL,199,6704.0,-978,WIN,12.75,8,20.75,0.0,0.0,8.0,12.0,0.0,0.0,-19.0,-23.0,1.0,6.0,4.0,-2233.0,-2.2092593288271276,0.9259259259259259,1.6607683521504206,0.0,-1.0,-1.0,0.0,0.85,0.5672839552551419,AG-PURE,6783.0,0.96,79.0
2026-03-12,10:01,BEAR,221,6722.5,2011,WIN,2.0,6,10.0,0.0,0.0,4.0,2.0,0.0,0.0,12.5,23.5,0.8,2.0,3.0,2907.0,5.663405146911351,1.0,-0.5313100914451646,0.0,1.0,0.0,0.918918918918919,0.75,0.55,AG-PURE,6736.0,1.65,13.5
2026-03-12,10:37,BULL,252,6689.5,-1097,WIN,23.75,15,31.75,0.0,0.0,2.0,4.0,-0.49042772177337335,-1.7278249620338602,-2.75,-12.25,0.6,2.0,1.0,-1097.0,-1.6651185893107643,0.9666666666666667,3.0187544524158043,1.0,-1.0,-1.0,0.0,0.95,0.7071789946634003,AG-PURE,6782.0,1.72,92.5
2026-03-12,11:39,BEAR,309,6706.25,627,LOSS,-7.5,2,0.5,0.0,0.0,7.0,4.0,0.0,0.0,15.0,7.75,0.8,4.0,4.0,1657.0,1.445246944594318,0.8333333333333334,17.573496419434452,1.0,1.0,1.0,1.0,0.95,0.6263497963062878,AG-PURE,6788.0,1.59,81.75
2026-03-12,11:42,BEAR,320,6716.5,1375,WIN,8.0,13,16.0,0.0,0.0,8.0,3.0,0.0,0.0,7.75,5.75,0.8,3.0,4.0,2280.0,3.0313815741998518,1.0,0.15913767879516427,0.0,1.0,1.0,1.0,0.75,0.5800000000000001,AG-PURE,6789.0,1.7,72.5
